a,b,0.1693,0.9671,0.2242,1.2454,0.617,3.3011,0.55
a,b,-0.1037,-0.5601,0.0556,-0.0012,0.2594,0.7799,-0.1
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,国际米兰,-0.0,-0.0,0.1746,1.0402,0.2804,1.4169,0.37
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
曼城,皇家马德里,0.0898,0.396,0.132,0.7328,0.2011,1.1177,0.12
